"key","ID","dataset","TL_mm","width_mm","est_width_mm","weight_g","gonads_g","pred.eggs","age","class"
175,"47711","batch",315.0956648606807,NA,58.19257710842356,1200,NA,6076,NA,7
176,"48811","batch",326.13276590406895,NA,60.55278129712451,1670,NA,7065,NA,8
177,"49621","batch",292.798242561752,NA,53.424434703974775,1260,NA,4405,NA,6
178,"49622","batch",289.79658951377496,NA,52.782552920976485,1260,NA,4211,NA,6
179,"50741","batch",301.5708096958697,NA,55.30038470336417,1545,NA,5014,NA,7
180,"50742","batch",302.514716476202,NA,55.5022323378042,1545,NA,5083,NA,7
181,"50743","batch",307.0965832117945,NA,56.482031382762045,1545,NA,5429,NA,7
182,"50744","batch",321.6985721271485,NA,59.60456104575074,1545,NA,6654,NA,7
183,"51721","batch",314.90270915813744,NA,58.15131492774894,975,NA,6060,NA,7
184,"51722","batch",314.9061813391745,NA,58.15205742853746,975,NA,6060,NA,7
185,"52731","batch",316.1849525887519,NA,58.42551340649564,1216.6666666666667,NA,6168,NA,7
186,"52732","batch",304.2964711729437,NA,55.88324768612401,1216.6666666666667,NA,5215,NA,7
187,"52733","batch",316.0647682119161,NA,58.399812847217504,1216.6666666666667,NA,6158,NA,7
188,"53721","batch",309.0772023163736,NA,56.905572445625566,1100,NA,5584,NA,7
189,"53722","batch",309.4310105573386,NA,56.981231777640346,1100,NA,5612,NA,7
